1, BA4001,"mov dx, 0140",0000,0000,0000,0000,FFFE,489D,489D,489D,0100,00000010
2, E82100,"call 0127"   ,0000,0000,0000,0140,FFFE,489D,489D,489D,0103,00000010
3, B409  ,"mov ah, 09"  ,0000,0000,0000,0000,FFFC,489D,489D,489D,0127,00000010
4, CD21  ,"int 21"      ,0900,0000,0000,0000,FFFC,489D,489D,489D,0129,00000010
5, C3    ,"ret"         ,0900,0000,0000,0000,FFFC,489D,489D,489D,012B,00000010
6, E82F00,"call 0138"   ,0900,0000,0000,0000,FFFE,489D,489D,489D,0106,00000010
7, BA5801,"mov dx, 0158",0900,0000,0000,0000,FFFC,489D,489D,489D,0138,00000010
8, B409  ,"mov ah, 09"  ,0900,0000,0000,0158,FFFC,489D,489D,489D,013B,00000010
9, CD21  ,"int 21"      ,0900,0000,0000,0158,FFFC,489D,489D,489D,013D,00000010
10,C3    ,"ret"         ,0900,0000,0000,0158,FFFC,489D,489D,489D,013F,00000010
11,B80100,"mov ax, 0001",0900,0000,0000,0158,FFFE,489D,489D,489D,0109,00000010
12,BB0200,"mov bx, 0002",0001,0000,0000,0158,FFFE,489D,489D,489D,010C,00000010
13,053000,"add ax, 0030",0001,0002,0000,0158,FFFE,489D,489D,489D,010F,00000010
14,83C330,"add bx, 0030",0031,0002,0000,0158,FFFE,489D,489D,489D,0112,00000010
15,8BD0  ,"mov dx, ax"  ,0031,0032,0000,0158,FFFE,489D,489D,489D,0115,00000010
16,E81200,"call 012C"   ,0031,0032,0000,0031,FFFE,489D,489D,489D,0117,00000010
17,B402  ,"mov ah, 02"  ,0031,0032,0000,0031,FFFC,489D,489D,489D,012C,00000010
18,CD21  ,"int 21"      ,0231,0032,0000,0031,FFFC,489D,489D,489D,012E,00000010
19,C3    ,"ret"         ,0231,0032,0000,0031,FFFC,489D,489D,489D,0130,00000010
20,E81400,"call 0131"   ,0231,0032,0000,0031,FFFE,489D,489D,489D,011A,00000010
21,B200  ,"mov dl, 00"  ,0231,0032,0000,0031,FFFC,489D,489D,489D,0131,00000010
22,B402  ,"mov ah, 02"  ,0231,0032,0000,0000,FFFC,489D,489D,489D,0133,00000010
23,CD21  ,"int 21"      ,0231,0032,0000,0000,FFFC,489D,489D,489D,0135,00000010
24,C3    ,"ret"         ,0200,0032,0000,0000,FFFC,489D,489D,489D,0137,00000010
25,8BD3  ,"mov dx, bx"  ,0200,0032,0000,0000,FFFE,489D,489D,489D,011D,00000010
26,E80A00,"call 012C"   ,0200,0032,0000,0032,FFFE,489D,489D,489D,011F,00000010
27,B402  ,"mov ah, 02"  ,0200,0032,0000,0032,FFFC,489D,489D,489D,012C,00000010
28,CD21  ,"int 21"      ,0200,0032,0000,0032,FFFC,489D,489D,489D,012E,00000010
29,C3    ,"ret"         ,0232,0032,0000,0032,FFFC,489D,489D,489D,0130,00000010
30,B8004C,"mov ax, 4C00",0232,0032,0000,0032,FFFE,489D,489D,489D,0122,00000010
31,CD21  ,"int 21"      ,4C00,0032,0000,0032,FFFE,489D,489D,489D,0125,00000010
