1, BA5301,"mov dx, 0153",0000,0000,0000,0000,FFFE,489D,489D,489D,0100,00000010
2, E83400,"call 013A"   ,0000,0000,0000,0153,FFFE,489D,489D,489D,0103,00000010
3, B409  ,"mov ah, 09"  ,0000,0000,0000,0000,FFFC,489D,489D,489D,013A,00000010
4, CD21  ,"int 21"      ,0900,0000,0000,0000,FFFC,489D,489D,489D,013C,00000010
5, C3    ,"ret"         ,0900,0000,0000,0000,FFFC,489D,489D,489D,013E,00000010
6, E84200,"call 014B"   ,0900,0000,0000,0000,FFFE,489D,489D,489D,0106,00000010
7, BA6B01,"mov dx, 016B",0900,0000,0000,0000,FFFC,489D,489D,489D,014B,00000010
8, B409  ,"mov ah, 09"  ,0900,0000,0000,016B,FFFC,489D,489D,489D,014E,00000010
9, CD21  ,"int 21"      ,0900,0000,0000,016B,FFFC,489D,489D,489D,0150,00000010
10,C3    ,"ret"         ,0900,0000,0000,016B,FFFC,489D,489D,489D,0152,00000010
11,B80100,"mov ax, 0001",0900,0000,0000,016B,FFFE,489D,489D,489D,0109,00000010
12,BB0200,"mov bx, 0002",0001,0000,0000,016B,FFFE,489D,489D,489D,010C,00000010
13,053000,"add ax, 0030",0001,0002,0000,016B,FFFE,489D,489D,489D,010F,00000010
14,83C330,"add bx, 0030",0031,0002,0000,016B,FFFE,489D,489D,489D,0112,00000010
15,50    ,"push ax"     ,0031,0032,0000,016B,FFFE,489D,489D,489D,0115,00000010
16,8BD0  ,"mov dx, ax"  ,0031,0032,0000,016B,FFFC,489D,489D,489D,0116,00000010
17,E82400,"call 013F"   ,0031,0032,0000,0031,FFFC,489D,489D,489D,0118,00000010
18,B402  ,"mov ah, 02"  ,0031,0032,0000,0031,FFFA,489D,489D,489D,013F,00000010
19,CD21  ,"int 21"      ,0231,0032,0000,0031,FFFA,489D,489D,489D,0141,00000010
20,C3    ,"ret"         ,0231,0032,0000,0031,FFFA,489D,489D,489D,0143,00000010
21,E82600,"call 0144"   ,0231,0032,0000,0031,FFFC,489D,489D,489D,011B,00000010
22,B200  ,"mov dl, 00"  ,0231,0032,0000,0031,FFFA,489D,489D,489D,0144,00000010
23,B402  ,"mov ah, 02"  ,0231,0032,0000,0000,FFFA,489D,489D,489D,0146,00000010
24,CD21  ,"int 21"      ,0231,0032,0000,0000,FFFA,489D,489D,489D,0148,00000010
25,C3    ,"ret"         ,0200,0032,0000,0000,FFFA,489D,489D,489D,014A,00000010
26,8BD3  ,"mov dx, bx"  ,0200,0032,0000,0000,FFFC,489D,489D,489D,011E,00000010
27,E81C00,"call 013F"   ,0200,0032,0000,0032,FFFC,489D,489D,489D,0120,00000010
28,B402  ,"mov ah, 02"  ,0200,0032,0000,0032,FFFA,489D,489D,489D,013F,00000010
29,CD21  ,"int 21"      ,0200,0032,0000,0032,FFFA,489D,489D,489D,0141,00000010
30,C3    ,"ret"         ,0232,0032,0000,0032,FFFA,489D,489D,489D,0143,00000010
31,58    ,"pop ax"      ,0232,0032,0000,0032,FFFC,489D,489D,489D,0123,00000010
32,93    ,"xchg bx, ax" ,0031,0032,0000,0032,FFFE,489D,489D,489D,0124,00000010
33,E82300,"call 014B"   ,0032,0031,0000,0032,FFFE,489D,489D,489D,0125,00000010
34,BA6B01,"mov dx, 016B",0032,0031,0000,0032,FFFC,489D,489D,489D,014B,00000010
35,B409  ,"mov ah, 09"  ,0032,0031,0000,016B,FFFC,489D,489D,489D,014E,00000010
36,CD21  ,"int 21"      ,0932,0031,0000,016B,FFFC,489D,489D,489D,0150,00000010
37,C3    ,"ret"         ,0932,0031,0000,016B,FFFC,489D,489D,489D,0152,00000010
38,8BD0  ,"mov dx, ax"  ,0932,0031,0000,016B,FFFE,489D,489D,489D,0128,00000010
39,E81200,"call 013F"   ,0932,0031,0000,0932,FFFE,489D,489D,489D,012A,00000010
40,B402  ,"mov ah, 02"  ,0932,0031,0000,0932,FFFC,489D,489D,489D,013F,00000010
41,CD21  ,"int 21"      ,0232,0031,0000,0932,FFFC,489D,489D,489D,0141,00000010
42,C3    ,"ret"         ,0232,0031,0000,0932,FFFC,489D,489D,489D,0143,00000010
43,E81400,"call 0144"   ,0232,0031,0000,0932,FFFE,489D,489D,489D,012D,00000010
44,B200  ,"mov dl, 00"  ,0232,0031,0000,0932,FFFC,489D,489D,489D,0144,00000010
45,B402  ,"mov ah, 02"  ,0232,0031,0000,0900,FFFC,489D,489D,489D,0146,00000010
46,CD21  ,"int 21"      ,0232,0031,0000,0900,FFFC,489D,489D,489D,0148,00000010
47,C3    ,"ret"         ,0200,0031,0000,0900,FFFC,489D,489D,489D,014A,00000010
48,8BD3  ,"mov dx, bx"  ,0200,0031,0000,0900,FFFE,489D,489D,489D,0130,00000010
49,E80A00,"call 013F"   ,0200,0031,0000,0031,FFFE,489D,489D,489D,0132,00000010
50,B402  ,"mov ah, 02"  ,0200,0031,0000,0031,FFFC,489D,489D,489D,013F,00000010
51,CD21  ,"int 21"      ,0200,0031,0000,0031,FFFC,489D,489D,489D,0141,00000010
52,C3    ,"ret"         ,0231,0031,0000,0031,FFFC,489D,489D,489D,0143,00000010
53,B8004C,"mov ax, 4C00",0231,0031,0000,0031,FFFE,489D,489D,489D,0135,00000010
54,CD21  ,"int 21"      ,4C00,0031,0000,0031,FFFE,489D,489D,489D,0138,00000010
